Districts,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
Chitradurga,361,383,39.6,211,233,23.2,22,22,2.4,0,0,0,0,0,0,0,0,0,22,22,2.4,121,121,13.3,0,0,0,7,7,0.8,14,14,1.5,0,0,0
Dakshina Kannada,60,60,6.7,33,33,3.7,16,16,1.8,1,1,0.1,5,5,0.6,0,0,0,10,10,1.1,3,3,0.3,3,3,0.3,5,5,0.6,11,11,1.2,0,0,0
Davanagere,239,329,26.9,111,199,12.5,11,11,1.2,0,0,0,0,0,0,0,0,0,11,11,1.2,114,114,12.8,0,0,0,3,5,0.3,21,21,2.4,0,0,0
Dharwad,43,50,8.1,37,42,7,2,2,0.4,0,0,0,0,0,0,0,0,0,2,2,0.4,4,6,0.8,0,0,0,0,0,0,5,5,0.9,0,0,0
Gadag,78,91,13.4,66,77,11.3,3,3,0.5,0,0,0,0,0,0,0,0,0,3,3,0.5,9,11,1.5,0,0,0,0,0,0,9,9,1.5,0,0,0
Kalaburgi,106,115,10.2,96,105,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.8,0,0,0,2,2,0.2,10,10,1,1,1,0.1
Hassan,288,543,31.1,188,443,20.3,19,19,2,0,0,0,0,0,0,0,0,0,19,19,2,71,71,7.7,1,1,0.1,9,9,1,15,15,1.6,0,0,0
Haveri,97,97,11,51,51,5.8,11,11,1.2,0,0,0,0,0,0,0,0,0,11,11,1.2,35,35,4,0,0,0,0,0,0,18,18,2,0,0,0
Hubballi Dharwad City,53,57,9.6,45,45,8.1,5,5,0.9,1,1,0.2,0,0,0,0,0,0,4,4,0.7,1,1,0.2,0,0,0,2,6,0.4,8,8,1.4,0,0,0
KGF,34,35,8.1,27,28,6.4,1,1,0.2,0,0,0,0,0,0,0,0,0,1,1,0.2,6,6,1.4,0,0,0,0,0,0,4,4,1,0,0,0
Kodagu,59,60,20.8,37,38,13,4,4,1.4,1,1,0.4,0,0,0,0,0,0,3,3,1.1,7,7,2.5,0,0,0,11,11,3.9,7,7,2.5,0,0,0
Kolar,104,104,23.6,79,79,18,4,4,0.9,0,0,0,0,0,0,0,0,0,4,4,0.9,19,19,4.3,1,1,0.2,1,1,0.2,10,10,2.3,0,0,0
Koppal,74,74,9,59,59,7.2,3,3,0.4,0,0,0,0,0,0,0,0,0,3,3,0.4,9,9,1.1,1,1,0.1,2,2,0.2,16,16,1.9,0,0,0
Mandya,331,623,35.7,160,292,17.3,15,18,1.6,1,1,0.1,0,0,0,0,0,0,14,17,1.5,149,304,16.1,1,1,0.1,6,8,0.6,6,6,0.6,0,0,0
Mangaluru City,80,80,28.2,45,45,15.8,13,13,4.6,0,0,0,0,0,0,0,0,0,13,13,4.6,1,1,0.4,3,3,1.1,18,18,6.3,22,22,7.7,0,0,0
Mysuru City,76,76,7.4,47,47,4.6,12,12,1.2,0,0,0,1,1,0.1,0,0,0,11,11,1.1,13,13,1.3,2,2,0.2,2,2,0.2,17,17,1.7,1,1,0.1
Mysuru District,301,301,26.3,215,215,18.8,23,23,2,0,0,0,0,0,0,0,0,0,23,23,2,63,63,5.5,0,0,0,0,0,0,15,15,1.3,1,1,0.1
Raichur,210,225,18.3,175,190,15.3,22,22,1.9,0,0,0,0,0,0,0,0,0,22,22,1.9,8,8,0.7,0,0,0,5,5,0.4,18,18,1.6,0,0,0
KRailways,6,6,-,1,1,-,5,5,-,0,0,-,5,5,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,1,-,0,0,-
Ramanagara,248,441,43.7,176,305,31,8,8,1.4,0,0,0,0,0,0,0,0,0,8,8,1.4,61,125,10.8,1,1,0.2,2,2,0.4,15,15,2.6,0,0,0
Shimoga,366,391,38.7,251,271,26.5,11,13,1.2,0,0,0,0,0,0,0,0,0,11,13,1.2,94,96,9.9,3,3,0.3,7,8,0.7,13,13,1.4,0,0,0
Tumakuru,339,339,24.5,160,160,11.5,167,167,12,0,0,0,0,0,0,0,0,0,167,167,12,8,8,0.6,0,0,0,4,4,0.3,25,25,1.8,0,0,0
Udupi,76,87,11.5,53,59,8,18,22,2.7,5,7,0.8,1,1,0.2,0,0,0,12,14,1.8,4,4,0.6,0,0,0,1,2,0.2,15,15,2.3,0,0,0
Uttara Kannada,184,189,24.1,137,142,17.9,5,5,0.7,0,0,0,0,0,0,0,0,0,5,5,0.7,41,41,5.4,0,0,0,1,1,0.1,17,17,2.2,0,0,0
Yadgiri,99,110,13.3,90,101,12,8,8,1.1,1,1,0.1,0,0,0,0,0,0,7,7,0.9,0,0,0,1,1,0.1,0,0,0,8,8,1.1,0,0,0
Belagavi City,45,53,4.8,36,42,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,0,0,0,0,0,0,7,7,0.7,0,0,0
Kalaburgi City,52,84,10.4,48,80,9.6,2,2,0.4,0,0,0,0,0,0,0,0,0,2,2,0.4,1,1,0.2,0,0,0,1,1,0.2,16,16,3.2,0,0,0
Vijayanagara,108,182,13.3,54,101,6.7,8,11,1,0,0,0,0,0,0,0,0,0,8,11,1,44,68,5.4,1,1,0.1,1,1,0.1,16,16,2,2,2,0.2
Total Districts,6790,8284,1.2,4360,5446,0.8,713,739,0.1,27,29,0,21,21,0,5,5,0,660,684,0.1,1423,1791,0.3,52,54,0,242,254,0,656,658,0.1,10,11,0
