Sl. No.,Heads of Crime,For 2025
19,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343, 344 BNS)",
,Forgery,466
,Organised (Racket),0
,Forgery of Passport,1
,Other Forgery,149
,Sub Total,616
20,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",
,Acid Attack (326(a)),2
,Attempt to Acid Attack (326(b)),6
,Grievous Hurt,1190
,Simple Hurt,15513
,Custodial,2
,Sub Total,16713
21,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",
,Attempt to Commit,0
,Alcoholic Drink (Liquor),5
,Cement & Chemical/Fertiliser,0
,Cosmetics,0
,Diesel,0
,Drug/Medicine,6
,Edible Oil,0
,Food Grain,2
,Kerosene,0
,Life Saving Drug,0
,Mobile Oil,0
,Petrol,0
,Petroleum Product,0
,Soft Drinks,0
,Spices,0
,Others,7
,Sub Total,20
22,AFFRAY (Sec. 160 IPC/194(2) BNS),686
23,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",
,Agricultural Produce,43
,Attemp to Commit,0
,Boat / Ship,0
,Dwelling House,18
,Educational Institution,1
,Govt. Property,4
,Industrial Establishment,0
,Place of worship,1
,Public Place,11
,Railway Property,0
,Vital Installation,0
,Warehouse (Godown),2
,Others,114
,Sub Total,194
24,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",
,Attempt To Commit,6
,On Contractor,1
,On Domestic Servant,0
,On Labourer,2
,On Man (General),14
,On Man (SC),0
,On Man (ST),0
,On Manager/Executive (Other Than Public Servant),0
,"On Member of Clergy (Christian, Budhist, Jain, Sikh)",1
,Member of Legislative Assembly / Council (MLA/MLC),0
,On Member of Parliament (MP),0
,On other Dignitaries /Public Figures,2
,On Press,0
,On Professional,0
,On Public Servant,0
,On Student,0
,On Teacher,0
,On Women (General),3
,On Woman (SC),0
,On Woman (ST),0
,Sub Total,29
25,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),
,Attempt to Commit,4
,Caste Issue,5
,Communal Issue,65
,Linguistic Issue,0
,Political Issue,1
,Racial/Ethnic Issue,0
,Regional Issue,17
,Religious Issue,91
,Sectarian Issue,0
,Others,77
,Sub Total,260
26,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",
,Conspiracy To Wage War,0
,Related to Substantive Offence,1
,Others,11
,Sub Total,12
27,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC/352 TO 354 BNS),3299
28,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",
,Attempt to Commit,0
,Bank,1
,Business Establishment,1
,Charitable Organisation,0
,Chitfund Organisation,0
,Co-operative Organisation,3
,Commercial Establishment/Shop,0
,Customs Department,0
,Excise Department,0
,Financial Institution,1
,Income Tax Department,0
,Other Government Organisation,1
,Postal Department,0
,Public Sector Undertakings,0
,Railway Department,0
,Revenue Department,0
,Sales Tax Department,0
,Social Organisation (Aided) (N),0
,Transport Authority,0
,Trust - Other than religious,1
,Trust - Religious,0
,Others,13
,Sub Total,21
29,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),
,Attempt to Commit,10
,Club,4
,Hostel,5
,Hotel,13
,House,715
,Land,1736
,Office,61
,Prohibited Places,13
,Religious Place,10
,Restricted Area,11
,Others,216
,Sub Total,2794
30,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),
,Husband,1059
,Husband And Relative(S) in Law,1328
,Relative(S) in Law,36
,Dowry Harassment,407
,Sub Total,2830
31,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),
,By Husband,2
,By Husband And Relatives In Law,40
,By Relatives in Law,1
,By Burning,1
,By Hanging,62
,By Other Means,10
,Sub Total,116
32,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),
,Electrocution,26
,Adulterated Food/Drug,0
,Accident by Air,0
,Boad Accident,1
,Bridge/Dam Collapse,1
,Building Collapse,5
,Caused By Animal,0
,Death Due to Other Cause,68
,Electrocution Accident,42
,Explosion Accident,1
,Fire accident,2
,Gas Leakage Accident,4
,Improper Infrastucture In Construction,90
,Improper Medical Treatment,5
,In Custody of Public Servant,0
,In Jail/Judicial Custody,0
,In Police Custody,0
,Industrial Accident (Factory),8
,Inflammable Substance,0
,Mine Accident,2
,Poisonous Substance,0
,Quarry Accident,2
,Spurious Liquor (Hooch) Accident,0
,Railway Accident,0
,Others,72
,Sub Total,329
33,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),
,National Highways,4015
,State Highways,3135
,Other Roads,4097
,Other Places,161
,Sub Total,11408
34,"MOTOR VEHICLE ACCIDENTS NON-FATAL Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",
,National Highways,10233
,State Highways,7158
,Other Roads,13939
,Other Places,421
,Sub Total,31751
35,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",
,Child,14
,Woman,1
,Women and Child,0
,Sub Total,15
36,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",
,Air Force,0
,Army,0
,Navy,0
,Sub Total,0
37,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",
,From Jail Custody,10
,From Police Custody,18
,Others,12
,Sub Total,40
38,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",
,Attempt to Commit,12
,Non-Uniformed Authority,4
,Uniformed Authority,2
,Sub Total,18
49,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",454
40,MOLESTATION (Sec.354 IPC/74 BNS),
,Attempt to Commit,65
,Private Place,972
,Public Conveyance,12
,Public Place,2189
,Other Places,2602
,Sub Total,5840
41,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),
,Attempt to Commit,12
,Fatal,0
,Non Fatal,2
,Sub Total,14
42,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),
,Advertisement,1
,Audio Tape,1
,Book,0
,Computer Software,0
,Figures,0
,Film (Blue),0
,Painting,0
,Pamphlet,0
,Paper,1
,Photography,0
,Poster,8
,Video Film(Blue),2
,Others,24
,Sub Total,37
43,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),7
44,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",408
45,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",5240
46,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",
,Attempt to Commit,19
,Defence Personnel,2
,Jail Personnel,14
,Judicial Official,22
,Minister,0
,MLA,0
,MP,0
,Nationalised Bank Personnel,3
,Other Elected Member,4
,Other Enforcement Official,1
,Other Govt. Official,462
,Para Military Personnel,2
,Police Personnel,498
,Public Sector Undertaking Official,136
,Sub Total,1163
47,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",
,Defence Personnel,0
,Jail Personnel,0
,Judicial Official,0
,Minister,0
,MLA,0
,MP,0
,Nationalised Bank Personnel,0
,Other Elected Member,0
,Other Enforcement Official,0
,Other Govt. Official,3
,Para Military Personnel,0
,Police Personnel,1
,Public Sector Undertaking Official,3
,Others,0
,Sub Total,7
48,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",
,Animal -Related,64
,Boat/Vessel - Related,1
,Explosive/Explosive Substances - Related,33
,Inflammable Substance- Related,20
,Machinery - Related,121
,Poisonous Substance - Related,13
,Other - Related,1581
,Human - Related,1005
,Wheeling,172
,Drink & Drive Without DL,56
,Death Causeed By Electric Shock,82
,Defective Silencer,21
,Footpath Riding,8
,Racing & Trials of Speed,1
,Rash & Negligence/Dangerous Driving,743
,Sub Total,3921
49,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),2
50,SEDITION (Sec. 124A IPC/IN BNS Deleted),
,Attempt to Commit,0
,By Foreigner,0
,By National,0
,By National And Foreigner,0
,Sub Total,0
51,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),
,Attempt to Commit,16
,Office,16
,Public Conveyance,11
,Public Place,139
,Other Places,221
,Sub Total,403
52,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",
,Dowry,8
,Abetment of Suicide,401
,Other Reasons,264
,Attempt to Commit suicide,76
,Sub Total,749
53,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),
,Abetment,0
,Animal,0
,Attempt,0
,Major - Man,0
,Major - Woman,0
,Minor - Boy,0
,Minor - Girl,0
,Sub Total,0
54,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",
,Attempt to Commit,33
,To Extort Confession,11
,To Extort Property,27
,To settle Dispute,19
,Others,415
,Sub Total,505
55,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",
,Male,2
,Female,3
,Sub Total,5
56,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",37
57,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",0
58,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),
,Documents,1
,Property,2
,Sub Total,3
59,DEFAMATION (Sec.500 to 502 IPC/350(2)- 356(4) BNS),
,Persons,1
,Printed Matter,1
,Others,2
,Sub Total,4
60,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),
,Assembly,0
,Parliament,1
,Other Elected Bodies,4
,Sub Total,5
61,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",
,Man,0
,Woman,0
,Boy,6
,Girl,0
,Sub Total,6
62,Attempting to commit offences (Sec.511 IPC/62 BNS),
,Attempting to commit offences,223
,Sub Total,223
63,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),0
64,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),13
65,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),
,Boy,26
,Girl,39
,Sub Total,65
66,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),19
67,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",
,IPC 174 A/BNS 209,354
,IPC 229 A/BNS 269,1016
,Sub Total,1370
68,Concealment of birth by secret disposal of Child,
,Girl,24
,Boy,23
,Sub Total,47
69,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,7
70,Disobedience to Order Promulgated by Public/Servant,
,By Govt. Institution,21
,By Others,17
,By Private Institution,0
,Sub Total,38
71,Human Trafficking,
,Women,5
,Girl,4
,Eunuch,0
,Men,6
,Boy,0
,Sub Total,15
72,Giving false information respecting an offence committed,
,Giving false information respecting an offence committed,30
,Sub Total,30
73,Harbouring offender,3
74,Pettry Organised Crimes,
,Cargo Theft,0
,Pick Pocketing,1
,Shop Lifting,0
,Theft Of ATM Machines,0
,Theft From Vehicles,0
,Unauthorised Betting/Gambling,145
,Others,12
,Sub Total,158
75,Public Servant in Judicial proceeding,
,Defence Personnel,0
,Others,0
,Jail Personnel,0
,Para Military Personnel,0
,Police Personnel,0
,Public Sector Undertaking Official,0
,Judicial Official,0
,Minister,0
,MLA,0
,MP,0
,Nationalised Bank Personnel,0
,Other Elected Member,0
,Other Enforcement Official,0
,Other Govt Official,1
,Sub Total,1
76,"The Indian Stamp Act, 1899",0
,Total Cognizable Crime Under IPC,138766
